date,position,country,song,winning chance,BET365,UNIBET,COOL BET,BETFAIR SPORT,SKY BET,BETSSON,COMEON,BET FRED,SMARKETS,10BET,888SPORT,BOYLE SPORTS,LAD BROKES,BETWAY,WILLIAM HILL,BETFAIR EXCHANGE
2023-03-20,1,Sweden,Loreen - Tattoo,40%,1.8,1.6,1.85,1.83,1.83,1.85,1.8,1.94,1.8,1.8,1.8,1.73,1.8,1.83,2
2023-03-20,2,Finland,Käärijä - Cha Cha Cha,14%,5.5,4.75,4.75,6,6,4.5,4,6.4,5.5,4,4.5,5.5,4,5.5,7
2023-03-20,3,Ukraine,Tvorchi - Heart of Steel,12%,6.5,7,6,6,6,7,6,7,6,6,5,5,7.5,5,8
2023-03-20,4,Norway,Alessandra - Queen of Kings,5%,15,15,15,15,15,13,15,18,17,15,15,15,19,13,22
2023-03-20,5,Israel,Noa Kirel - Unicorn,3%,23,26,21,26,26,25,26,19,23,26,21,26,34,13,25
2023-03-20,6,Spain,Blanca Paloma - Eaea,3%,21,29,21,21,34,20,26,26,23,26,21,29,26,23,29
2023-03-20,7,United Kingdom,Mae Muller - I Wrote A Song,2%,29,34,41,34,26,30,26,44,26,26,34,21,26,17,50
2023-03-20,8,Czechia,Vesna - My Sister's Crown,2%,34,34,31,34,34,35,29,36,34,29,34,23,34,17,44
2023-03-20,9,Austria,Teya & Salena - Who The Hell Is Edgar?,2%,34,34,41,51,34,45,34,46,34,34,34,26,51,26,55
2023-03-20,10,France,La Zarra - Évidemment,2%,41,51,51,51,41,40,34,50,41,34,34,34,34,26,65
2023-03-20,11,Georgia,Iru - Echo,1%,67,41,81,81,41,70,34,120,34,34,67,29,26,29,150
2023-03-20,12,Italy,Marco Mengoni - Due vite,1%,56,67,61,81,51,50,51,75,51,51,51,41,51,26,90
2023-03-20,13,Armenia,Brunette - Future Lover,1%,41,67,81,81,81,75,41,110,67,41,41,51,41,34,140
2023-03-20,14,Switzerland,Remo Forrer - Watergun,1%,67,67,81,51,81,70,67,120,67,67,51,67,67,51,150
2023-03-20,15,Serbia,Luke Black - Samo mi se spava,1%,101,126,81,101,126,120,101,85,101,101,67,101,101,67,100
2023-03-20,16,Croatia,Let 3 - Mama ŠČ!,1%,101,101,101,151,126,120,101,170,101,101,81,67,101,41,200
2023-03-20,17,Moldova,Pasha Parfeni - Soarele și Luna,1%,126,101,101,151,151,125,101,200,101,101,81,101,126,101,230
2023-03-20,18,Australia,Voyager - Promise,1%,126,201,101,151,301,100,101,120,101,101,101,151,126,34,150
2023-03-20,19,Netherlands,Nicolai & Cooper - Burning Daylight,1%,151,151,151,151,201,150,151,220,101,151,101,151,151,34,250
2023-03-20,20,Germany,Lord Of The Lost - Blood & Glitter,<1%,151,151,151,151,201,150,151,140,201,151,101,201,151,101,170
2023-03-20,21,Iceland,Diljá - Power,<1%,151,151,101,251,201,120,201,280,201,201,126,201,151,101,550
2023-03-20,22,Estonia,Alika - Bridges,<1%,201,201,101,201,201,150,201,270,201,201,151,201,201,67,300
2023-03-20,23,Poland,Blanka - Solo,<1%,201,201,201,201,301,150,201,260,201,201,101,201,151,21,360
2023-03-20,24,Azerbaijan,TuralTuranX - Tell Me More,<1%,151,201,301,201,201,200,151,280,201,151,101,201,151,101,800
2023-03-20,25,Ireland,Wild Youth - We Are One,<1%,201,251,251,151,301,250,151,280,201,151,67,151,201,101,780
2023-03-20,26,Portugal,Mimicat - Ai Coração,<1%,201,201,251,201,301,200,201,270,201,201,101,201,201,101,450
2023-03-20,27,Cyprus,A. Lambrou - Break a Broken Heart,<1%,201,251,201,251,301,200,201,280,201,201,151,201,201,101,830
2023-03-20,28,Slovenia,Joker Out - Carpe Diem,<1%,251,251,151,251,301,250,201,280,201,201,201,201,251,67,480
2023-03-20,29,Greece,Victor Vernicos - What They Say,<1%,201,251,251,251,301,250,201,280,201,201,126,201,201,151,520
2023-03-20,30,Denmark,Reiley - Breaking My Heart,<1%,201,251,251,201,301,250,201,280,201,201,201,201,201,151,730
2023-03-20,31,Malta,The Busker - Dance (Our Own Party),<1%,251,251,301,251,501,200,201,290,201,201,126,201,251,151,1000
2023-03-20,32,Belgium,Gustaph - Because of You,<1%,251,251,301,251,501,250,251,290,201,251,201,201,251,201,1000
2023-03-20,32,San Marino,Piqued Jacks - Like An Animal,<1%,251,251,301,251,501,250,251,290,201,251,201,201,301,151,1000
2023-03-20,34,Lithuania,Monika Linkytė - Stay,<1%,251,501,301,251,501,250,251,290,201,251,126,201,251,101,1000
2023-03-20,35,Albania,Albina & Familja Kelmendi - Duje,<1%,301,251,301,251,501,300,251,290,201,251,201,201,301,251,1000
2023-03-20,35,Latvia,Sudden Lights - Aijā,<1%,251,501,301,251,501,250,251,290,201,251,201,201,251,151,1000
2023-03-20,37,Romania,Theodor Andrei - D.G.T. (Off and On),<1%,301,501,301,251,501,300,251,290,201,251,201,201,301,201,1000
