date,position,country,song,winning chance,BET365,UNIBET,COOL BET,BETFAIR SPORT,SKY BET, BETSSON ,LAD BROKES,COMEON, * SMARKETS,888 SPORT,BOYLE SPORTS,BET FRED,10BET,BETWAY, WILLIAM  HILL,BETFAIR*  EXCHANGE ,BWIN
2023-03-21,15,Serbia,Luke Black - Samo mi se spava,1%,81.0,126.0,81.0,101.0,126.0,80.0,101.0,101.0,120.0,41.0,67.0,101.0,101.0,101.0,67.0,160.0,101.0
2023-03-21,16,Croatia,Let 3 - Mama ŠČ!,1%,101.0,101.0,101.0,151.0,126.0,120.0,101.0,101.0,170.0,34.0,81.0,101.0,101.0,101.0,41.0,200.0,101.0
2023-03-21,17,Moldova,Pasha Parfeni - Soarele și Luna,1%,126.0,101.0,101.0,151.0,151.0,125.0,101.0,101.0,240.0,101.0,81.0,101.0,101.0,126.0,101.0,270.0,101.0
2023-03-21,18,Australia,Voyager - Promise,1%,126.0,201.0,101.0,151.0,301.0,100.0,151.0,101.0,210.0,101.0,101.0,101.0,101.0,126.0,34.0,240.0,101.0
2023-03-21,19,Netherlands,Nicolai & Cooper - Burning Daylight,1%,151.0,151.0,151.0,151.0,201.0,150.0,151.0,151.0,210.0,101.0,101.0,101.0,151.0,151.0,34.0,240.0,101.0
2023-03-21,20,Germany,Lord Of The Lost - Blood & Glitter,1%,151.0,151.0,151.0,151.0,201.0,100.0,126.0,151.0,170.0,81.0,101.0,201.0,151.0,151.0,101.0,200.0,101.0
2023-03-21,21,Estonia,Alika - Bridges,<1%,151.0,201.0,101.0,201.0,201.0,150.0,201.0,201.0,200.0,51.0,151.0,201.0,201.0,201.0,67.0,230.0,101.0
2023-03-21,22,Iceland,Diljá - Power,<1%,201.0,151.0,151.0,251.0,201.0,120.0,201.0,201.0,280.0,101.0,126.0,201.0,201.0,151.0,101.0,550.0,101.0
2023-03-21,23,Slovenia,Joker Out - Carpe Diem,<1%,81.0,151.0,151.0,251.0,301.0,90.0,251.0,201.0,160.0,151.0,201.0,201.0,201.0,251.0,67.0,190.0,101.0
2023-03-21,24,Poland,Blanka - Solo,<1%,201.0,201.0,201.0,151.0,301.0,150.0,201.0,201.0,270.0,201.0,101.0,201.0,201.0,151.0,21.0,500.0,101.0
2023-03-21,25,Azerbaijan,TuralTuranX - Tell Me More,<1%,251.0,201.0,301.0,201.0,201.0,200.0,201.0,151.0,280.0,101.0,101.0,201.0,151.0,151.0,101.0,840.0,101.0
2023-03-21,26,Ireland,Wild Youth - We Are One,<1%,251.0,251.0,301.0,151.0,301.0,250.0,151.0,151.0,280.0,101.0,67.0,201.0,151.0,201.0,101.0,780.0,101.0
2023-03-21,27,Portugal,Mimicat - Ai Coração,<1%,201.0,201.0,251.0,201.0,301.0,200.0,201.0,201.0,280.0,101.0,101.0,201.0,201.0,201.0,101.0,760.0,101.0
2023-03-21,28,Cyprus,A. Lambrou - Break a Broken Heart,<1%,251.0,251.0,201.0,251.0,301.0,200.0,201.0,201.0,280.0,67.0,151.0,201.0,201.0,201.0,101.0,800.0,101.0
2023-03-21,29,Greece,Victor Vernicos - What They Say,<1%,251.0,251.0,251.0,251.0,301.0,250.0,201.0,201.0,280.0,101.0,126.0,201.0,201.0,201.0,151.0,670.0,101.0
2023-03-21,30,Denmark,Reiley - Breaking My Heart,<1%,251.0,251.0,251.0,201.0,301.0,250.0,201.0,201.0,280.0,101.0,201.0,201.0,201.0,201.0,151.0,760.0,101.0
2023-03-21,31,Malta,The Busker - Dance (Our Own Party),<1%,251.0,251.0,301.0,251.0,501.0,200.0,201.0,201.0,290.0,151.0,126.0,201.0,201.0,251.0,151.0,1000.0,101.0
2023-03-21,32,Belgium,Gustaph - Because of You,<1%,251.0,251.0,301.0,251.0,401.0,250.0,201.0,251.0,290.0,151.0,201.0,201.0,251.0,251.0,201.0,1000.0,101.0
2023-03-21,33,Lithuania,Monika Linkytė - Stay,<1%,251.0,501.0,301.0,251.0,501.0,250.0,201.0,251.0,290.0,101.0,126.0,201.0,251.0,251.0,101.0,1000.0,101.0
2023-03-21,34,San Marino,Piqued Jacks - Like An Animal,<1%,251.0,251.0,301.0,251.0,501.0,250.0,251.0,251.0,290.0,151.0,201.0,201.0,251.0,301.0,151.0,1000.0,101.0
2023-03-21,35,Latvia,Sudden Lights - Aijā,<1%,251.0,501.0,301.0,251.0,501.0,250.0,251.0,251.0,290.0,151.0,201.0,201.0,251.0,251.0,151.0,1000.0,101.0
2023-03-21,36,Albania,Albina & Familja Kelmendi - Duje,<1%,301.0,251.0,301.0,251.0,501.0,300.0,251.0,251.0,290.0,201.0,201.0,201.0,251.0,301.0,251.0,1000.0,301.0
2023-03-21,37,Romania,Theodor Andrei - D.G.T. (Off and On),<1%,301.0,501.0,301.0,251.0,501.0,300.0,251.0,251.0,290.0,151.0,201.0,201.0,251.0,301.0,201.0,1000.0,301.0
2023-03-22,1,Sweden,Loreen - Tattoo,39%,1.8,1.8,1.9,1.91,1.83,1.85,1.73,1.8,1.94,1.83,1.8,1.8,1.8,1.91,1.83,2.02,1.75
2023-03-22,2,Finland,Käärijä - Cha Cha Cha,15%,5.0,4.25,4.5,5.5,6.0,4.5,5.0,4.0,6.2,5.0,4.5,5.5,4.0,4.0,4.5,7.0,5.0
2023-03-22,3,Ukraine,Tvorchi - Heart of Steel,11%,6.5,7.5,6.5,6.5,6.0,7.5,6.0,6.0,7.0,5.5,5.0,6.0,6.0,7.5,5.0,8.4,7.0
2023-03-22,4,Norway,Alessandra - Queen of Kings,5%,15.0,13.0,13.0,15.0,15.0,12.0,15.0,15.0,17.0,13.0,15.0,17.0,15.0,19.0,13.0,20.0,13.0
2023-03-22,5,Israel,Noa Kirel - Unicorn,4%,17.0,18.0,23.0,21.0,23.0,20.0,21.0,19.0,21.0,21.0,17.0,21.0,19.0,23.0,13.0,30.0,17.0
2023-03-22,6,Spain,Blanca Paloma - Eaea,3%,21.0,23.0,21.0,21.0,26.0,20.0,23.0,26.0,23.0,23.0,21.0,23.0,26.0,21.0,23.0,26.0,21.0
2023-03-22,7,United Kingdom,Mae Muller - I Wrote A Song,3%,29.0,34.0,41.0,34.0,26.0,30.0,26.0,29.0,48.0,14.0,23.0,26.0,29.0,26.0,17.0,65.0,26.0
2023-03-22,8,Czechia,Vesna - My Sister's Crown,2%,34.0,34.0,23.0,26.0,34.0,35.0,29.0,29.0,28.0,23.0,34.0,34.0,29.0,34.0,17.0,29.0,34.0
2023-03-22,9,Austria,Teya & Salena - Who The Hell Is Edgar?,2%,34.0,41.0,36.0,51.0,34.0,45.0,29.0,34.0,44.0,26.0,34.0,34.0,34.0,41.0,26.0,46.0,34.0
2023-03-22,10,France,La Zarra - Évidemment,2%,41.0,51.0,51.0,51.0,41.0,40.0,41.0,41.0,75.0,34.0,34.0,41.0,41.0,34.0,26.0,75.0,34.0
2023-03-22,11,Italy,Marco Mengoni - Due vite,1%,67.0,67.0,61.0,81.0,67.0,50.0,51.0,51.0,95.0,34.0,51.0,51.0,51.0,51.0,26.0,100.0,34.0
2023-03-22,12,Armenia,Brunette - Future Lover,1%,67.0,67.0,81.0,81.0,81.0,75.0,51.0,41.0,85.0,51.0,41.0,67.0,41.0,41.0,34.0,130.0,34.0
2023-03-22,13,Georgia,Iru - Echo,1%,67.0,51.0,81.0,81.0,67.0,70.0,67.0,67.0,120.0,41.0,67.0,34.0,67.0,26.0,29.0,140.0,67.0
2023-03-22,14,Switzerland,Remo Forrer - Watergun,1%,67.0,81.0,81.0,81.0,81.0,70.0,81.0,67.0,100.0,41.0,51.0,67.0,67.0,67.0,51.0,110.0,67.0
2023-03-22,15,Serbia,Luke Black - Samo mi se spava,1%,81.0,126.0,81.0,101.0,126.0,80.0,81.0,101.0,150.0,41.0,67.0,101.0,101.0,101.0,67.0,160.0,101.0
2023-03-22,16,Croatia,Let 3 - Mama ŠČ!,1%,101.0,101.0,101.0,151.0,126.0,120.0,101.0,101.0,150.0,34.0,81.0,101.0,101.0,101.0,41.0,170.0,101.0
2023-03-22,17,Moldova,Pasha Parfeni - Soarele și Luna,1%,126.0,101.0,101.0,151.0,151.0,125.0,101.0,101.0,240.0,101.0,81.0,101.0,101.0,126.0,101.0,230.0,101.0
2023-03-22,18,Australia,Voyager - Promise,1%,126.0,201.0,101.0,151.0,301.0,100.0,151.0,101.0,270.0,101.0,101.0,101.0,101.0,126.0,34.0,140.0,101.0
2023-03-22,19,Netherlands,Nicolai & Cooper - Burning Daylight,1%,151.0,151.0,151.0,151.0,201.0,150.0,151.0,151.0,220.0,101.0,101.0,101.0,151.0,151.0,34.0,220.0,101.0
2023-03-22,20,Germany,Lord Of The Lost - Blood & Glitter,1%,151.0,151.0,151.0,151.0,201.0,100.0,101.0,151.0,220.0,81.0,101.0,201.0,151.0,151.0,101.0,250.0,101.0
2023-03-22,21,Slovenia,Joker Out - Carpe Diem,<1%,81.0,151.0,151.0,251.0,201.0,90.0,101.0,201.0,170.0,151.0,201.0,201.0,201.0,251.0,67.0,220.0,101.0
2023-03-22,22,Estonia,Alika - Bridges,<1%,151.0,201.0,101.0,201.0,201.0,150.0,201.0,201.0,220.0,51.0,151.0,201.0,201.0,201.0,67.0,260.0,101.0
2023-03-22,23,Iceland,Diljá - Power,<1%,201.0,151.0,151.0,251.0,201.0,120.0,201.0,201.0,280.0,101.0,126.0,201.0,201.0,151.0,101.0,640.0,101.0
2023-03-22,24,Poland,Blanka - Solo,<1%,201.0,201.0,201.0,151.0,301.0,150.0,201.0,201.0,260.0,201.0,101.0,201.0,201.0,151.0,21.0,500.0,101.0
2023-03-22,25,Azerbaijan,TuralTuranX - Tell Me More,<1%,251.0,201.0,301.0,201.0,201.0,200.0,201.0,151.0,280.0,101.0,101.0,201.0,151.0,151.0,101.0,930.0,101.0
2023-03-22,26,Ireland,Wild Youth - We Are One,<1%,251.0,251.0,301.0,151.0,301.0,250.0,151.0,151.0,280.0,101.0,67.0,201.0,151.0,201.0,101.0,240.0,101.0
2023-03-22,27,Portugal,Mimicat - Ai Coração,<1%,201.0,201.0,251.0,201.0,301.0,200.0,201.0,201.0,280.0,101.0,101.0,201.0,201.0,201.0,101.0,690.0,101.0
2023-03-22,28,Cyprus,A. Lambrou - Break a Broken Heart,<1%,251.0,251.0,201.0,251.0,301.0,200.0,201.0,201.0,280.0,67.0,151.0,201.0,201.0,201.0,101.0,700.0,101.0
2023-03-22,29,Greece,Victor Vernicos - What They Say,<1%,251.0,251.0,251.0,251.0,301.0,250.0,201.0,201.0,280.0,101.0,126.0,201.0,201.0,201.0,151.0,690.0,101.0
2023-03-22,30,Denmark,Reiley - Breaking My Heart,<1%,251.0,251.0,251.0,201.0,301.0,250.0,201.0,201.0,280.0,101.0,201.0,201.0,201.0,201.0,151.0,730.0,101.0
2023-03-22,31,Malta,The Busker - Dance (Our Own Party),<1%,251.0,251.0,301.0,251.0,501.0,200.0,201.0,201.0,290.0,151.0,126.0,201.0,201.0,251.0,151.0,1000.0,101.0
2023-03-22,32,Belgium,Gustaph - Because of You,<1%,251.0,251.0,301.0,251.0,401.0,250.0,201.0,251.0,290.0,151.0,201.0,201.0,251.0,251.0,201.0,1000.0,101.0
2023-03-22,33,Lithuania,Monika Linkytė - Stay,<1%,251.0,501.0,301.0,251.0,501.0,250.0,201.0,251.0,290.0,101.0,126.0,201.0,251.0,251.0,101.0,1000.0,101.0
2023-03-22,34,San Marino,Piqued Jacks - Like An Animal,<1%,251.0,251.0,301.0,251.0,501.0,250.0,251.0,251.0,290.0,151.0,201.0,201.0,251.0,301.0,151.0,1000.0,101.0
2023-03-22,35,Latvia,Sudden Lights - Aijā,<1%,251.0,501.0,301.0,251.0,501.0,250.0,251.0,251.0,290.0,151.0,201.0,201.0,251.0,176.0,151.0,1000.0,101.0
2023-03-22,36,Albania,Albina & Familja Kelmendi - Duje,<1%,301.0,251.0,301.0,251.0,501.0,300.0,251.0,251.0,290.0,201.0,201.0,201.0,251.0,301.0,251.0,1000.0,301.0
2023-03-22,37,Romania,Theodor Andrei - D.G.T. (Off and On),<1%,301.0,501.0,301.0,251.0,501.0,300.0,251.0,251.0,290.0,151.0,201.0,201.0,251.0,301.0,201.0,1000.0,301.0
2023-03-23,1,Sweden,Loreen - Tattoo,39%,1.8,1.75,1.9,1.91,1.83,1.85,1.73,1.8,1.95,1.83,1.8,1.8,1.8,1.91,1.83,2.02,1.8
2023-03-23,2,Finland,Käärijä - Cha Cha Cha,15%,5.0,4.5,4.5,5.5,6.0,4.5,5.0,4.0,6.6,5.0,4.5,5.5,4.0,4.0,4.5,7.2,5.0
2023-03-23,3,Ukraine,Tvorchi - Heart of Steel,11%,6.5,7.5,6.5,6.5,6.0,7.5,6.0,6.0,7.0,5.5,6.0,6.0,6.0,7.5,5.0,8.2,7.0
2023-03-23,4,Norway,Alessandra - Queen of Kings,5%,15.0,13.0,13.0,15.0,9.0,12.0,15.0,15.0,18.0,13.0,15.0,17.0,15.0,19.0,13.0,20.0,13.0
2023-03-23,5,Israel,Noa Kirel - Unicorn,4%,17.0,21.0,23.0,21.0,23.0,20.0,21.0,19.0,22.0,21.0,17.0,21.0,19.0,23.0,13.0,32.0,17.0
2023-03-23,6,Spain,Blanca Paloma - Eaea,3%,21.0,23.0,21.0,17.0,23.0,20.0,23.0,23.0,21.0,23.0,21.0,23.0,23.0,21.0,23.0,24.0,21.0
2023-03-23,7,Czechia,Vesna - My Sister's Crown,2%,34.0,34.0,23.0,26.0,34.0,25.0,29.0,29.0,25.0,23.0,34.0,34.0,29.0,34.0,17.0,29.0,34.0
2023-03-23,8,United Kingdom,Mae Muller - I Wrote A Song,2%,29.0,34.0,41.0,34.0,26.0,35.0,26.0,29.0,55.0,26.0,23.0,26.0,29.0,26.0,17.0,70.0,34.0
2023-03-23,9,Austria,Teya & Salena - Who The Hell Is Edgar?,2%,34.0,41.0,36.0,51.0,34.0,40.0,29.0,34.0,50.0,26.0,34.0,34.0,34.0,41.0,26.0,65.0,34.0
2023-03-23,10,France,La Zarra - Évidemment,2%,41.0,51.0,51.0,51.0,41.0,50.0,41.0,41.0,65.0,34.0,41.0,41.0,41.0,34.0,26.0,80.0,51.0
2023-03-23,11,Italy,Marco Mengoni - Due vite,1%,67.0,67.0,61.0,81.0,67.0,65.0,51.0,51.0,80.0,34.0,67.0,51.0,51.0,51.0,26.0,95.0,51.0
2023-03-23,12,Armenia,Brunette - Future Lover,1%,67.0,67.0,81.0,81.0,81.0,75.0,51.0,41.0,90.0,51.0,51.0,67.0,41.0,41.0,34.0,110.0,34.0
2023-03-23,13,Georgia,Iru - Echo,1%,67.0,51.0,81.0,81.0,67.0,70.0,67.0,67.0,110.0,41.0,67.0,34.0,67.0,26.0,29.0,140.0,67.0
2023-03-23,14,Switzerland,Remo Forrer - Watergun,1%,67.0,81.0,81.0,81.0,81.0,80.0,81.0,67.0,95.0,41.0,67.0,67.0,67.0,67.0,51.0,120.0,67.0
2023-03-23,15,Serbia,Luke Black - Samo mi se spava,1%,81.0,126.0,81.0,101.0,126.0,100.0,81.0,101.0,120.0,41.0,81.0,101.0,101.0,101.0,67.0,160.0,101.0
2023-03-23,16,Croatia,Let 3 - Mama ŠČ!,1%,101.0,101.0,101.0,151.0,126.0,120.0,101.0,101.0,140.0,34.0,101.0,101.0,101.0,101.0,41.0,170.0,101.0
2023-03-23,17,Moldova,Pasha Parfeni - Soarele și Luna,1%,126.0,101.0,101.0,151.0,151.0,125.0,101.0,101.0,220.0,101.0,126.0,101.0,101.0,126.0,101.0,250.0,101.0
2023-03-23,18,Australia,Voyager - Promise,1%,126.0,201.0,101.0,151.0,301.0,150.0,151.0,101.0,200.0,101.0,126.0,101.0,101.0,126.0,34.0,230.0,101.0
2023-03-23,19,Netherlands,Nicolai & Cooper - Burning Daylight,1%,151.0,151.0,151.0,151.0,201.0,150.0,151.0,151.0,220.0,101.0,126.0,101.0,151.0,151.0,34.0,250.0,101.0
2023-03-23,20,Germany,Lord Of The Lost - Blood & Glitter,1%,151.0,151.0,151.0,151.0,201.0,150.0,101.0,151.0,170.0,81.0,126.0,201.0,151.0,151.0,101.0,200.0,101.0
2023-03-23,21,Slovenia,Joker Out - Carpe Diem,<1%,81.0,151.0,151.0,251.0,201.0,100.0,101.0,101.0,190.0,151.0,201.0,201.0,101.0,251.0,67.0,220.0,101.0
2023-03-23,22,Estonia,Alika - Bridges,<1%,151.0,201.0,101.0,201.0,201.0,150.0,201.0,201.0,270.0,51.0,151.0,201.0,201.0,201.0,67.0,300.0,101.0
2023-03-23,23,Iceland,Diljá - Power,<1%,201.0,151.0,151.0,251.0,201.0,120.0,201.0,201.0,270.0,101.0,201.0,201.0,201.0,151.0,101.0,410.0,101.0
2023-03-23,24,Poland,Blanka - Solo,<1%,201.0,201.0,201.0,151.0,301.0,150.0,201.0,201.0,270.0,201.0,151.0,201.0,201.0,151.0,21.0,500.0,101.0
2023-03-23,25,Ireland,Wild Youth - We Are One,<1%,251.0,251.0,301.0,151.0,301.0,250.0,151.0,151.0,210.0,101.0,67.0,201.0,151.0,201.0,101.0,240.0,101.0
2023-03-23,26,Azerbaijan,TuralTuranX - Tell Me More,<1%,251.0,201.0,301.0,201.0,201.0,250.0,201.0,151.0,280.0,101.0,201.0,201.0,151.0,151.0,101.0,890.0,101.0
2023-03-23,27,Portugal,Mimicat - Ai Coração,<1%,201.0,201.0,251.0,201.0,301.0,200.0,201.0,201.0,270.0,101.0,201.0,201.0,201.0,201.0,101.0,450.0,101.0
